rank,name,githubLogin,department,commitCount,pullRequestCount,issueCount,repositoryCount,starCount,total
1,synthetic-name-1,synthetic-1,synthetic-department,1,2,3,4,5,15
2,synthetic-name-2,synthetic-2,synthetic-department,1,2,3,4,5,15
3,synthetic-name-3,synthetic-3,synthetic-department,1,2,3,4,5,15
4,synthetic-name-4,synthetic-4,synthetic-department,1,2,3,4,5,15
5,synthetic-name-5,synthetic-5,synthetic-department,1,2,3,4,5,15
6,synthetic-name-6,synthetic-6,synthetic-department,1,2,3,4,5,15
7,synthetic-name-7,synthetic-7,synthetic-department,1,2,3,4,5,15
8,synthetic-name-8,synthetic-8,synthetic-department,1,2,3,4,5,15
9,synthetic-name-9,synthetic-9,synthetic-department,1,2,3,4,5,15
10,synthetic-name-10,synthetic-10,synthetic-department,1,2,3,4,5,15
11,synthetic-name-11,synthetic-11,synthetic-department,1,2,3,4,5,15
12,synthetic-name-12,synthetic-12,synthetic-department,1,2,3,4,5,15
13,synthetic-name-13,synthetic-13,synthetic-department,1,2,3,4,5,15
14,synthetic-name-14,synthetic-14,synthetic-department,1,2,3,4,5,15
15,synthetic-name-15,synthetic-15,synthetic-department,1,2,3,4,5,15
16,synthetic-name-16,synthetic-16,synthetic-department,1,2,3,4,5,15
17,synthetic-name-17,synthetic-17,synthetic-department,1,2,3,4,5,15
18,synthetic-name-18,synthetic-18,synthetic-department,1,2,3,4,5,15
19,synthetic-name-19,synthetic-19,synthetic-department,1,2,3,4,5,15
20,synthetic-name-20,synthetic-20,synthetic-department,1,2,3,4,5,15
21,synthetic-name-21,synthetic-21,synthetic-department,1,2,3,4,5,15
22,synthetic-name-22,synthetic-22,synthetic-department,1,2,3,4,5,15
23,synthetic-name-23,synthetic-23,synthetic-department,1,2,3,4,5,15
24,synthetic-name-24,synthetic-24,synthetic-department,1,2,3,4,5,15
25,synthetic-name-25,synthetic-25,synthetic-department,1,2,3,4,5,15
26,synthetic-name-26,synthetic-26,synthetic-department,1,2,3,4,5,15
27,synthetic-name-27,synthetic-27,synthetic-department,1,2,3,4,5,15
28,synthetic-name-28,synthetic-28,synthetic-department,1,2,3,4,5,15
29,synthetic-name-29,synthetic-29,synthetic-department,1,2,3,4,5,15
30,synthetic-name-30,synthetic-30,synthetic-department,1,2,3,4,5,15
31,synthetic-name-31,synthetic-31,synthetic-department,1,2,3,4,5,15
32,synthetic-name-32,synthetic-32,synthetic-department,1,2,3,4,5,15
33,synthetic-name-33,synthetic-33,synthetic-department,1,2,3,4,5,15
34,synthetic-name-34,synthetic-34,synthetic-department,1,2,3,4,5,15
